Cotacao;Ticker
Centro de Imagem Diagnosticos SA;AALR3.SA
Banco ABC Brasil SA;ABCB4.SA
Ambev SA;ABEV3.SA
Steel Do Brasil Part;ADHM3.SA
Brasilagro Companhia Braslr Propds Agrcl;AGRO3.SA
Alpargatas SA;ALPA3.SA
Alpargatas SA Preference Shares;ALPA4.SA
Aliansce Sonae Shopping Centers SA;ALSO3.SA
Alupar Investimento SA Brazilian Units;ALUP11.SA
Marisa Lojas SA;AMAR3.SA
Anima Holding SA;ANIM3.SA
Alper Consultoria e Corretora deSegursSA;APER3.SA
Arezzo Industria E Comercio SA;ARZZ3.SA
Azul SA;AZUL4.SA
B3 SA Brasil Bolsa Balcao;B3SA3.SA
Bahema Educacao SA;BAHI3.SA
Banco do Brasil SA;BBAS3.SA
Banco Bradesco SA;BBDC3.SA
Banco Bradesco SA Preference Shares;BBDC4.SA
Brasil Brokers Participacoes SA;BBRK3.SA
BB Seguridade Participacoes SA;BBSE3.SA
Minerva SA;BEEF3.SA
Banestes SA Banco do Estado Esprt Santo;BEES3.SA
Banco do Estado de Sergipe SA Preference Shares;BGIP4.SA
Banco Inter SA Preference Shares;BIDI4.SA
Biomm SA;BIOM3.SA
BK Brasil Operacao e Assessr Rstrnts SA;BKBR3.SA
Banco BTG Pactual SA Brazilian Units;BPAC11.SA
Banco Pan SA;BPAN4.SA
Bradespar SA;BRAP3.SA
Bradespar SA Preference Shares;BRAP4.SA
Petrobras Distribuidora SA;BRDT3.SA
BRF SA;BRFS3.SA
Braskem SA;BRKM3.SA
Braskem SA Preference Shares Series A;BRKM5.SA
BR Malls Participacoes SA;BRML3.SA
BR Properties SA;BRPR3.SA
Banco do Estado do Rio Grande do Sul SA;BRSR3.SA
Banco do Estado do Rio Grande do Sul B Pref Shs;BRSR6.SA
Biosev SA;BSEV3.SA
B2W Companhia Digital;BTOW3.SA
Cambuci Ord Shs;CAMB3.SA
Camil Alimentos SA;CAML3.SA
CSU Cardsystem SA;CARD3.SA
Cyrela Commercial Propertes SA Emp Partp;CCPR3.SA
CCR SA;CCRO3.SA
Cia De Fiacao E Tecidos Cedro Cachoeira Preference Shares;CEDO4.SA
CESP Companhia Energetica de Sao Paulo;CESP3.SA
Companhia Energetica de Sao Paulo B Pref Shs;CESP6.SA
Grazziotin SA;CGRA3.SA
Grazziotin SA Preference Shares;CGRA4.SA
Cielo SA;CIEL3.SA
Centrais Eletricas de Santa Catarina SA Preference Shares;CLSC4.SA
Companhia Energetica de Minas Gers CEMIG;CMIG3.SA
Companhia Energetica de Minas Gers CEMIG Preference Shares;CMIG4.SA
Companhia Energetica do Ceara - COELCE Preference Shares Series A;COCE5.SA
CPFL Energia S.A.;CPFE3.SA
Companhia Paranaense de Energia - COPEL;CPLE3.SA
Cia Paranaense De Energia Copel Pref Shs;CPLE6.SA
CR2 Empreendimentos Imobiliarios SA;CRDE3.SA
Atacadao SA;CRFB3.SA
Cosan SA;CSAN3.SA
Companhia de Saneamento de Minas Gerais;CSMG3.SA
Companhia Siderurgica Nacional;CSNA3.SA
Companhia de Tecidos Nrt d Mns COTEMINAS Preference Shares;CTNM4.SA
CVC Brasil Operadora e Agencia d Vgns SA;CVCB3.SA
Cyrela Brazil Realty SA Emprdts e Prtpcs;CYRE3.SA
Diagnosticos da America SA;DASA3.SA
Direcional Engenharia SA;DIRR3.SA
Dommo Energia SA;DMMO3.SA
Duratex SA;DTEX3.SA
Ecorodovias Infraestrutura e Logistic SA;ECOR3.SA
