Cotacao;Ticker
EVEN Construtora e Incorporadora SA;EVEN3.SA
EZTEC Empreendimentos e Participacoes SA;EZTC3.SA
Fator Verita Fundo Investimento Imobiliario - FII;VRTA11.SA
Fdo Inv Imob Rbr Private Credito Imob Cef;RBRY11.SA
Fertilizantes Heringer SA;FHER3.SA
FI Imobiliario - Ceo Cyrela Commercial Properties;CEOC11.SA
FI Imobiliario - FII CENESP;CNES11.SA
FI imobiliario - FII Cyrela Thera Corporate;THRA11.SA
FI Imobiliario - FII Edificio Galeria;EDGA11.SA
FI Imobiliario - FII Hotel Maxinvest;HTMX11.SA
FI Imobiliario - FII Torre Almirante;ALMI11.SA
FI Imobiliario - FII Torre Norte;TRNT11.SA
FI Imobiliario - FII Vila Olimpia Corporate;VLOL11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;OUCY11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;OUFF11.SA
FI Imobiliario - Ourinvest Fundo de Fundos;WTSP11B.SA
FI Imobiliario - VBI CRI;CVBI11.SA
FI Imobiliario Anhanguera Educacional;FAED11.SA
FI Imobiliario Atrio REIT Recebiveis Imobiliarios;ARRI11.SA
FI Imobiliario Barigui Rendimentos Imobiliarios I;BARI11.SA
FI Imobiliario BTG Pactual Credito Imobiliario;BTCR11.SA
FI Imobiliario BTG Pactual Shoppings Closed Fund;BPML11.SA
FI Imobiliario Caixa Trx Logistica Renda;CXTL11.SA
FI Imobiliario Campus Faria Lima;FCFL11.SA
FI Imobiliario Centro Textil Internacional;CTXT11.SA
FI Imobiliario Continental Square Faria Lima;FLMA11.SA
FI Imobiliario FII BTG Pactual Fundo de Fundos;BCFF11.SA
FI Imobiliario FII Floripa Shopping;FLRP11.SA
FI Imobiliario FII Max Retail;MAXR11.SA
FI Imobiliario Grand Plaza Shopping;ABCP11.SA
FI Imobiliario Iridium Recebiveis Imobiliarios;IRDM11.SA
FI Imobiliario Mogno Fundo de Fundos;MGFF11.SA
FI Imobiliario Multi Renda Urbana;HBRH11.SA
FI Imobiliario Novo Horizonte;NVHO11.SA
FI Imobiliario Presidente Vargas;PRSV11.SA
FI Imobiliario Projeto Agua Branca;FPAB11.SA
FI Imobiliario RBR Alpha Fundo de Fundos;RBRF11.SA
FI Imobiliario RBR Properties - FII;RBRP11.SA
FI Imobiliario RBR Rendimento High Grade;RBRR11.SA
FI Imobiliario Rio Bravo Renda Corporativa;RCRB11.SA
FI Imobiliario VBI Prime Properties;PVBI11.SA
FI Imobiliario Via Parque Shopping-FII;FVPQ11.SA
FI Imobiliario Votorantim Logistica;VTLT11.SA
FI Imobiliario Votorantim Shopping;VSHO11.SA
FI Imobiliario-FII BTG Pactual Fundo de CRI;FEXC11.SA
FI Imobiliario-FII Jardim Sul;JRDM11.SA
FII - FII Brasil Plural Absoluto Fundo de Fundos;BPFF11.SA
FII - FII Parque Dom Pedro Shopping Center;PQDP11.SA
FII ALMIRANTCI MB;FAMB11B.SA
FII BTG Pactual Corporate Office Fund;BRCR11.SA
FII CX CEDAECI ER MB;CXCE11B.SA
FII EUROPAR CI ER;EURO11.SA
FII FOF Integral Brei;IBFF11.SA
FII General Shopping Ativo e Renda - FII;FIGS11.SA
FII Hospital Da Crianca;HCRI11.SA
FII Hospital Nossa Senhora de Lourdes;NSLU11.SA
FII Hospital Unimed Sul Capixaba;HUSC11.SA
FII Imobiliario Rio Negro;RNGO11.SA
FII Industrial do Brasil;FIIB11.SA
FII Maua Capital Recebiveis Imobiliarios FII;MCCI11.SA
FII Memorial Office;FMOF11.SA
FII Mercantil do Brasil;MBRF11.SA
FII Mogno Certificados de Receb Imob High Grade;MGCR11.SA
FII MTGESTAOCI MB;DRIT11B.SA
FII NCH Brasil Recebiveis Imobiliarios;NCHB11.SA
FII OURINVESCI ER MB;EDFO11B.SA
FII RB CAP ICI ER MB;FIIP11B.SA
Fii Rb Capital I Fundo de Fundos;RFOF11.SA
Fii Rec Renda Imobiliaria Closed Fund;RECT11.SA
FII Rio Bravo Renda Varejo-FII;RBVA11.SA
FII SDI Rio Bravo Renda Logistica;SDIL11.SA
FII Shopping Patio Higienopolis;SHPH11.SA
FII TG Ativo Real;TGAR11.SA
FII Vida Nova;FIVN11.SA
FISET Fl Ref Pref Shs;FSRF11.SA
Fleury SA;FLRY3.SA
Fras-le SA;FRAS3.SA
Fundo de FI Imobiliario Kinea FII;KFOF11.SA
Fundo de Investimento Imobiliario - VBI Logistico;LVBI11.SA
Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund;NVIF11B.SA
Fundo de Investimento Imobiliario Athena I;FATN11.SA
Fundo de Investimento imobiliario Housi;HOSI11.SA
Fundo de Investimento Imobiliario Mogno Hoteis;MGHT11.SA
Fundo de Investimento Imobiliario Ourinvest Logistica Closed Fund;OULG11.SA
Fundo de Investimento Imobiliario Panamby;PABY11.SA
Fundo de Investimento Imobiliario Riza Terrax Closed End Fund;RZTR11.SA
Fundo de Investimento Imobiliario The One;ONEF11.SA
Fundo de Investimento Imobiliario V2 Properties Closed Fund;VVPR11.SA
Fundo de Investimentos Imobiliarios Rec Recebiveis Closed Fund;RECR11.SA
Fundo Investimento Imobiliario CSHG Logi;HGLG11.SA
Fundo Investimento Imobiliario Green Towers;GTWR11.SA
Gafisa SA;GFSA3.SA
Galapagos Fundo de Fundos FII FI Imobiliario;GCFF11.SA
General Shopping e Outlets do Brasil FII;GSFI11.SA
General Shopping e Outlets do Brasil SA;GSHP3.SA
Gerdau SA;GGBR3.SA
Gerdau SA Preference Shares;GGBR4.SA
GGR Covepi Renda FII;GGRC11.SA
Gol Linhas Aereas Inteligentes SA;GOLL4.SA
Grazziotin SA;CGRA3.SA
Grazziotin SA Preference Shares;CGRA4.SA
Grendene SA;GRND3.SA
Guararapes Confeccoes SA;GUAR3.SA
Habitat II-Fundo de Investimento Imobiliario;HABT11.SA
Hapvida Participacoes e Investimentos SA;HAPV3.SA
Hectare Ce Fdo Inv Imob;HCTR11.SA
Hedge Atrium Shopping Santo Andre FII;ATSA11.SA
Hedge Brasil Shopping FI Imobiliario;HGBS11.SA
HEDGE LOG STICA FUNDO DE INVESTIMENTO IMOBILI RIO;HLOG11.SA
Hedge Shopping Parque Dom Pedro FII Closed Fund;HPDP11.SA
Hedge Shopping Praca da Moca FI Imobiliario;HMOC11.SA
Hedge Top FOF II 3 FI Imobiliario;HFOF11.SA
Helbor Empreendimentos SA;HBOR3.SA
HSI Malls Fundo de Investimento Imobiliario;HSML11.SA
Hypera SA;HYPE3.SA
IBOVESPA;IBOV.SA
IFI-E Inter Fundo de Investimento Imobiliario;IFIE11.SA
Iguatemi Empresa de Shopping Centers SA;IGTA3.SA
IND FDO IMOB;IFIX.SA
Industrias Romi SA;ROMI3.SA
Instituto Hermes Pardini SA;PARD3.SA
Inter Titulos Imobiliarios Fundo De Investimento Imobiliario Closed Fund;BICR11.SA
International Meal Company Alimentcao SA;MEAL3.SA
Iochpe Maxion SA;MYPK3.SA
IRB Brasil Resseguros SA;IRBR3.SA
Itau Unibanco Holding SA;ITUB3.SA
Itau Unibanco Holding SA Preference Shares;ITUB4.SA
Itausa SA;ITSA3.SA
Itausa SA Preference Shares;ITSA4.SA
JBS SA;JBSS3.SA
JHSF Participacoes SA;JHSF3.SA
JHSF Rio Bravo Fazenda Boa Vista Capital Prot FII;RBBV11.SA
Joao Fortes Engenharia S.A.;JFEN3.SA
JPP Allocation Mogno FI Imobiliario;JPPA11.SA
JS Real Estate Multigestao FII;JSRE11.SA
JSL SA;JSLG3.SA
Kepler Weber SA;KEPL3.SA
Kinea High Yield CRI FI Imobiliario-FII;KNHY11.SA
Kinea II Real Estate Equity FII;KNRE11.SA
Kinea Indices de Precos FII;KNIP11.SA
Kinea Renda Imobiliaria FII;KNRI11.SA
Kinea Rendimentos Imobiliarios FII;KNCR11.SA
Klabin SA Brazilian Units;KLBN11.SA
Legatus Shoppings FI Imobiliario FII;LASC11.SA
Light SA;LIGT3.SA
Linx SA;LINX3.SA
Localiza Rent a Car SA;RENT3.SA
Log Commercial Properties E Participacoe;LOGG3.SA
LOGCP Inter Fundo de Investimento Imobiliario Closed Fund;LGCP11.SA
Log-in Logistica Intermodal SA;LOGN3.SA
Lojas Americanas SA;LAME3.SA
Lojas Americanas SA Preference Shares;LAME4.SA
Lojas Renner SA;LREN3.SA
LPS Brasil - Consultoria de Imoveis SA;LPSB3.SA
Luggo Fundo de Investimento Imobiliario;LUGG11.SA
M. Dias Branco SA Ind Com de Alimentos;MDIA3.SA
MAC Fundo de Investimento Imobiliario;DMAC11.SA
Magazine Luiza SA;MGLU3.SA
Mahle Metal Leve SA;LEVE3.SA
Malls Brasil Plural FI Imobiliario;MALL11.SA
Marcopolo SA;POMO3.SA
Marcopolo SA Preference Shares;POMO4.SA
Marfrig Global Foods SA;MRFG3.SA
Marisa Lojas SA;AMAR3.SA
Maxi Renda Fundo de Investimento Imobiliario - FII;MXRF11.SA
Merito Desenvolvimento Imobiliario I FII;MFII11.SA
Merito Fundos De Acoes Imobiliarias FII Closed Fund;MFAI11.SA
Metalfrio Solutions SA;FRIO3.SA
Metalurgica Gerdau S.A.;GOAU3.SA
Metalurgica Gerdau S.A. Preference Shares;GOAU4.SA
Mills Estruturas e Servicos de Engnhr SA;MILS3.SA
Minerva SA;BEEF3.SA
More Real Estate FOF FII FI Imobiliario;MORE11.SA
Movida Participacoes SA;MOVI3.SA
MRV Engenharia e Participacoes SA;MRVE3.SA
